序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402001,繁星推甄,繁星生,外語群英語類,520,雲林縣私立義峰高中,應用外語科(英文)
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402002,繁星推甄,繁星生,外語群英語類,247,台北縣私立淡江高中,綜合高中部
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402003,繁星推甄,繁星生,外語群英語類,241,台北縣私立格致高中,應用外語科(英文)
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402004,技優甄審,技優生,商管群,800,高雄市私立復華高中,應用外語科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402005,技優甄審,技優生,商管群,632,雲林縣私立義峰高中,應用外語科(英文)
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402006,技優甄審,技優生,商管群,237,台北縣私立中華高中,資料處理科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402007,甄選入學,甄選一般生,餐旅群,427,台中縣私立明台高中,餐飲管理科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402009,甄選入學,甄選一般生,商管群,811,高雄縣私立中山工商,應用外語科(英文)
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402010,甄選入學,甄選一般生,商管群,241,台北縣私立格致高中,資料處理科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402011,甄選入學,甄選一般生,商管群,364,苗栗縣國立苗栗高商,應用外語科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402012,甄選入學,甄選一般生,商管群,241,台北縣私立清傳高商,商業經營科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402013,甄選入學,甄選一般生,商管群,324,桃園縣私立育達高中,資料處理科
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402014,甄選入學,甄選一般生,商管群,600,嘉義市私立興華高中,應用外語科(英文)
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402015,甄選入學,甄選一般生,商管群,334,桃園縣私立新興高中,電子商務(處理)科
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402016,甄選入學,甄選一般生,商管群,334,桃園縣私立新興高中,應用外語科(英文)
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402017,甄選入學,甄選一般生,商管群,604,嘉義市國立華南高商,國際貿易科
17,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402018,甄選入學,甄選一般生,商管群,541,南投縣國立南投高商,應用外語科(英文)
18,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402019,甄選入學,甄選一般生,外語群英語類,207,基隆市私立二信高中,應用外語科(英文)
19,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402020,甄選入學,甄選一般生,外語群英語類,429,台中市私立新民高中,應用外語科(英文)
20,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402021,甄選入學,甄選一般生,外語群英語類,330,桃園縣私立新興高中,應用外語科(英文)
21,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402022,甄選入學,甄選一般生,外語群英語類,640,雲林縣私立揚子高中,應用外語科(英文)
22,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402023,甄選入學,甄選一般生,外語群英語類,540,南投縣國立南投高商,應用外語科(英文)
23,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402024,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
24,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402025,身心障礙單招,身心障礙生,,880,澎湖縣國立馬公高中,觀光事業科
25,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402026,身心障礙單招,身心障礙生,,880,澎湖縣國立馬公高中,觀光事業科
26,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402027,運動績優單招,一般生,,806,高雄市私立復華高中,電子商務(處理)科
27,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402029,聯合登記分發,聯登一般生,商管群,220,台北縣國立海山高工,汽車科
28,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402031,聯合登記分發,聯登一般生,商管群,116,台北市市立松山家商,會計事務科
29,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402032,聯合登記分發,聯登一般生,商管群,249,台北縣國立三重商工,國際貿易科
30,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402034,聯合登記分發,聯登一般生,商管群,335,桃園縣私立振聲高中,電子商務(處理)科
31,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402035,聯合登記分發,聯登一般生,商管群,303,新竹縣縣立湖口中學,商業經營科
32,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402036,聯合登記分發,聯登一般生,商管群,406,台中市私立新民高中,國際貿易科
33,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402037,聯合登記分發,聯登一般生,商管群,369,苗栗縣國立卓蘭高級中等學校,資料處理科
34,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402038,聯合登記分發,聯登一般生,商管群,434,台中市私立嶺東高中,國際貿易科
35,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402041,聯合登記分發,聯登一般生,商管群,512,彰化縣國立員林高中,普通科
36,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402042,聯合登記分發,聯登一般生,商管群,852,台南市國立台南高商,資料處理科
37,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1110402043,聯合登記分發,聯登一般生,商管群,701,臺南縣國立曾文家商,資料處理科
