序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402001,技優甄審,技優生,商業類,247,台北縣私立穀保家商,資料處理科
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402002,甄選入學,甄選一般生,商管群,814,高雄市市立海青工商,資料處理科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402003,甄選入學,甄選一般生,餐旅群,434,台中縣私立僑泰高中,餐飲管理科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402004,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402005,甄選入學,甄選一般生,餐旅群,212,連江縣國立馬祖高中,綜合高中部
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402006,聯合登記分發,聯登一般生,商管群,428,台中市國立台中高工,機械科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402008,聯合登記分發,聯登一般生,商管群,502,南投縣國立草屯商工,商業經營科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402009,聯合登記分發,聯登一般生,商管群,710,臺南市國立新化高工,資料處理科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402011,聯合登記分發,聯登一般生,外語群英語類,303,新北市立光復高級中學,應用英語科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402012,聯合登記分發,聯登一般生,外語群英語類,406,臺中市私立新民高中,應用英語科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402013,聯合登記分發,聯登一般生,外語群英語類,710,國立台南高級商業職業學校,資料處理科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1114402015,聯合登記分發,聯登一般生,餐旅群,403,台中市國立台中高農,餐飲技術科
13,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403001,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,普通科
14,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403002,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,普通科
15,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403003,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,觀光事業科
16,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403004,特殊選才,特選-扎根計畫,不分類別,885,澎湖縣國立澎湖海事高職,餐飲管理科
17,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403005,特殊選才,特選-扎根計畫,不分類別,885,澎湖縣國立澎湖海事高職,餐飲管理科
18,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403006,繁星推甄,繁星生,餐旅群,900,高雄縣私立中山工商,餐飲技術科
19,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403007,繁星推甄,繁星生,餐旅群,423,臺中市葳格高級中學,餐飲管理科
20,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403008,繁星推甄,繁星生,餐旅群,437,苗栗縣私立龍德家商,烘焙食品科
21,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403009,技優甄審,技優生,餐旅類,242,台北縣私立樹人家商,餐飲管理科
22,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403010,技優甄審,技優生,餐旅類,842,高雄縣私立中山工商,餐飲技術科
23,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403011,甄選入學,甄選一般生,餐旅群,412,台中縣私立大明高中,餐飲管理科
24,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403012,甄選入學,甄選一般生,餐旅群,412,台中縣私立僑泰高中,餐飲管理科
25,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403014,甄選入學,甄選一般生,餐旅群,402,台中縣私立僑泰高中,餐飲管理科
26,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403015,甄選入學,甄選一般生,餐旅群,411,台中縣私立大明高中,餐飲管理科
27,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403016,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
28,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403017,甄選入學,甄選一般生,餐旅群,884,澎湖縣國立馬公高中,觀光事業科
29,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403018,甄選入學,甄選中低/低收入戶生,餐旅群,402,臺中市明德高級中學,餐飲管理科
30,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403019,甄選入學,甄選一般生,餐旅群,402,臺中市明德高級中學,餐飲管理科
31,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403020,甄選入學,甄選離島生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
32,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403021,甄選入學,甄選離島生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
33,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403022,甄選入學,甄選離島生,餐旅群,885,澎湖縣國立澎湖海事高職,餐飲管理科
34,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403023,甄選入學,甄選離島生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
35,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403024,甄選入學,甄選一般生,餐旅群,326,桃園縣私立育達高中,餐飲管理科
36,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403025,甄選入學,甄選原住民生,餐旅群,324,桃園縣私立育達高中,餐飲技術科
37,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403026,甄選入學,甄選一般生,餐旅群,335,桃園縣私立永平工商,餐飲管理科
38,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403027,聯合登記分發,聯登一般生,餐旅群,104,台北市市立士林高商,資料處理科
39,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403028,聯合登記分發,聯登一般生,餐旅群,236,新北市立新北高工,應用英語科
40,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403029,聯合登記分發,聯登一般生,餐旅群,326,桃園縣私立永平工商,餐飲管理科
41,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403030,聯合登記分發,聯登一般生,餐旅群,330,桃園縣私立永平工商,餐飲管理科
42,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403031,聯合登記分發,聯登一般生,餐旅群,324,桃園縣私立永平工商,餐飲管理科
