序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
43,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403033,聯合登記分發,聯登一般生,餐旅群,326,桃園縣私立育達高中,餐飲管理科
44,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403035,聯合登記分發,聯登一般生,餐旅群,411,台中市國立台中高農,餐飲管理科
45,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403037,聯合登記分發,聯登一般生,餐旅群,411,台中市國立台中高農,觀光事務科
46,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403038,聯合登記分發,聯登一般生,餐旅群,434,臺中市私立嶺東高中,觀光事業科
47,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403039,聯合登記分發,聯登一般生,餐旅群,407,台中縣私立僑泰高中,餐飲管理科
48,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403040,聯合登記分發,聯登一般生,餐旅群,402,台中縣私立僑泰高中,餐飲管理科
49,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403043,聯合登記分發,聯登一般生,餐旅群,508,彰化縣私立達德商工,餐飲管理科
50,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403045,聯合登記分發,聯登一般生,餐旅群,704,臺南市私立長榮高中,觀光事業科
51,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403047,聯合登記分發,聯登一般生,餐旅群,735,臺南市國立曾文家商,餐飲管理科
52,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403048,聯合登記分發,聯登一般生,餐旅群,710,台南市國立台南家齊高級中等學校,餐飲管理科
53,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1114403049,聯合登記分發,聯登一般生,餐旅群,807,高雄市市立三民家商,餐飲管理科
54,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405001,高中生申請入學,一般生,,220,台北市市立大理高中,普通科
55,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405002,高中生申請入學,一般生,,828,高雄市國立岡山高中,普通科
56,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405003,繁星推甄,繁星生,電機與電子群,831,高雄縣私立中山工商,資訊科
57,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405004,技優甄審,技優生,電子類,436,台中縣私立明道高中,電子科
58,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405005,技優甄審,技優生,電子類,220,台北市市立內湖高工,資訊科
59,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405006,技優甄審,技優生,電子類,220,台北縣鶯歌工商,資訊科
60,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405007,甄選入學,甄選一般生,電機與電子群資電類,358,台中縣私立致用高中,資訊科
61,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405008,甄選入學,甄選一般生,電機與電子群資電類,326,桃園縣私立治平高中,資訊科
62,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405009,甄選入學,甄選一般生,電機與電子群資電類,330,桃園縣私立大興高級中學,資訊科
63,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405010,甄選入學,甄選一般生,電機與電子群資電類,438,台中縣私立致用高中,資訊科
64,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405011,甄選入學,甄選一般生,電機與電子群資電類,435,臺中市私立嶺東高中,資訊科
65,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405012,甄選入學,甄選一般生,電機與電子群資電類,320,桃園縣私立新興高中,資訊科
66,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405013,甄選入學,甄選一般生,電機與電子群資電類,320,桃園縣私立新興高中,資訊科
67,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405014,甄選入學,甄選一般生,電機與電子群資電類,116,台北市市立松山工農,電機科
68,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405015,甄選入學,甄選一般生,電機與電子群資電類,302,新竹縣私立義民高中,資訊科
69,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405016,甄選入學,甄選一般生,電機與電子群資電類,407,臺中市私立嶺東高中,電子科
70,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405017,甄選入學,甄選一般生,電機與電子群資電類,227,新北市立樟樹國際實創高級中學,資訊科
71,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405018,甄選入學,甄選一般生,電機與電子群資電類,238,基隆市國立基隆海事,資訊科
72,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405019,甄選入學,甄選一般生,電機與電子群資電類,812,高雄市市立高雄高工,電子科
73,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405020,甄選入學,甄選一般生,電機與電子群資電類,303,新竹縣私立內思高工,資訊科
74,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405021,甄選入學,甄選一般生,電機與電子群資電類,305,新竹縣私立內思高工,資訊科
75,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405022,甄選入學,甄選一般生,電機與電子群資電類,813,高雄市市立海青工商,資訊科
76,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405023,甄選入學,甄選一般生,電機與電子群資電類,326,桃園縣國立楊梅高中,資訊科
77,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405025,甄選入學,甄選一般生,電機與電子群資電類,305,新竹縣私立內思高工,資訊科
78,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405026,聯合登記分發,聯登一般生,動力機械群,320,桃園縣國立桃園農工,動力機械科
79,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405027,聯合登記分發,聯登一般生,動力機械群,826,高雄縣國立岡山農工,汽車科
80,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405028,聯合登記分發,聯登一般生,電機與電子群資電類,251,台北市市立松山工農,資訊科
81,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405029,聯合登記分發,聯登一般生,電機與電子群資電類,108,台北市市立松山工農,綜合高中部
82,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405030,聯合登記分發,聯登一般生,電機與電子群資電類,239,台北縣鶯歌工商,資訊科
83,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405032,聯合登記分發,聯登一般生,電機與電子群資電類,251,台北縣國立淡水商工,電子科
84,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405033,聯合登記分發,聯登一般生,電機與電子群資電類,251,台北縣國立淡水商工,電子科
85,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405034,聯合登記分發,聯登一般生,電機與電子群資電類,330,桃園縣私立新興高中,資訊科
86,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405035,聯合登記分發,聯登一般生,電機與電子群資電類,320,桃園縣國立桃園農工,電子科
87,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405036,聯合登記分發,聯登一般生,電機與電子群資電類,335,桃園縣私立育達高中,資訊科
88,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405037,聯合登記分發,聯登一般生,電機與電子群資電類,324,桃園縣私立治平高中,電子科
89,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405040,聯合登記分發,聯登一般生,電機與電子群資電類,300,新竹市私立磐石高中,電機科
90,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405041,聯合登記分發,聯登一般生,電機與電子群資電類,303,新竹縣私立內思高工,資訊科
91,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405042,聯合登記分發,聯登一般生,電機與電子群資電類,310,新竹縣私立內思高工,資訊科
92,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405045,聯合登記分發,聯登一般生,電機與電子群資電類,413,台中縣國立霧峰農工,電子科
93,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405048,聯合登記分發,聯登一般生,電機與電子群資電類,433,台中縣國立沙鹿高工,資訊科
94,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405050,聯合登記分發,聯登一般生,電機與電子群資電類,510,彰化縣國立二林工商,電子科
95,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405051,聯合登記分發,聯登一般生,電機與電子群資電類,511,彰化縣國立員林崇實高級工業職業學校,資訊科
96,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405052,聯合登記分發,聯登一般生,電機與電子群資電類,709,臺南市國立北門農工,電子科
97,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405054,聯合登記分發,聯登一般生,電機與電子群資電類,820,高雄市市立高雄高工,資訊科
98,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405055,聯合登記分發,聯登一般生,電機與電子群資電類,807,高雄市市立高雄高工,電子科
99,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,1114405056,聯合登記分發,聯登一般生,電機與電子群資電類,831,高雄縣私立中山工商,資訊科
100,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407001,運動績優單招,一般生,,640,雲林縣私立大成商工,水電技術科
101,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407002,甄選入學,甄選一般生,水產群,709,臺南市國立臺南海事,水產養殖科
102,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407003,甄選入學,甄選一般生,水產群,852,臺南市國立臺南海事,水產養殖科
103,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407004,甄選入學,甄選一般生,水產群,507,彰化縣國立鹿港高中,水產養殖科
104,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407005,甄選入學,甄選一般生,水產群,653,雲林縣國立北港農工,電機科
105,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407006,甄選入學,甄選一般生,農業群,239,台北市私立開平餐飲職業學校,餐飲管理科
106,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407007,甄選入學,甄選一般生,農業群,235,台北縣國立淡水商工,園藝科
107,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407008,甄選入學,甄選一般生,農業群,115,台北市市立松山工農,園藝科
108,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407009,甄選入學,甄選一般生,農業群,304,苗栗縣國立大湖農工,園藝科
109,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407010,甄選入學,甄選一般生,農業群,524,彰化縣國立員林農工,園藝科
110,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407011,甄選入學,甄選一般生,農業群,508,彰化縣國立員林農工,休閒農業科
111,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407012,甄選入學,甄選一般生,農業群,237,台北縣鶯歌工商,陶瓷工程科
112,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407013,甄選入學,甄選一般生,農業群,646,雲林縣國立虎尾農工,畜產保健科
113,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407015,聯合登記分發,聯登一般生,農業群,338,桃園縣國立桃園農工,電機科
114,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407016,聯合登記分發,聯登一般生,農業群,428,台中市國立台中高農,森林科
115,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407020,聯合登記分發,聯登一般生,水產群,328,桃園縣國立龍潭高級中學,造園科
116,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407021,聯合登記分發,聯登一般生,水產群,508,彰化縣國立鹿港高中,水產養殖科
117,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407023,聯合登記分發,聯登一般生,水產群,807,南投縣私立普台高級中學,普通科
118,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407024,聯合登記分發,聯登一般生,水產群,812,高雄市市立中正高工,機械科
119,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,1114407025,聯合登記分發,聯登一般生,水產群,880,澎湖縣國立澎湖海事高職,水產養殖科
120,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408001,身心障礙甄試,一般生,,334,桃園縣私立新興高中,商業經營科
121,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408002,繁星推甄,繁星生,商管群,114,台北市市立松山家商,商業經營科
122,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408003,甄選入學,甄選一般生,商管群,326,桃園縣私立治平高中,資料處理科
123,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408004,甄選入學,甄選一般生,商管群,326,桃園縣私立治平高中,資料處理科
124,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408005,甄選入學,甄選一般生,商管群,330,桃園縣私立新興高中,資料處理科
125,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408006,甄選入學,甄選一般生,商管群,712,臺南市國立新化高工,資料處理科
126,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408007,甄選入學,甄選一般生,商管群,338,桃園縣私立新興高中,國際貿易科
127,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408009,甄選入學,甄選一般生,商管群,831,高雄市立楠梓高中,綜合高中部
128,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408010,甄選入學,甄選一般生,商管群,520,彰化縣國立員林家商,國際貿易科
129,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408011,甄選入學,甄選一般生,商管群,427,南投縣國立暨南國際大學附屬高級中學,商業經營科
130,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408012,甄選入學,甄選一般生,商管群,327,桃園縣私立治平高中,應用英語科
131,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408013,甄選入學,甄選一般生,商管群,300,新北市立光復高級中學,資料處理科
132,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408014,甄選入學,甄選一般生,商管群,427,臺中市私立新民高中,國際貿易科
133,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408015,甄選入學,甄選一般生,商管群,338,桃園縣私立新興高中,國際貿易科
134,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408016,甄選入學,甄選一般生,商管群,961,台東縣國立台東高商,商業經營科
135,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408017,甄選入學,甄選一般生,商管群,265,宜蘭縣國立羅東高商,國際貿易科
136,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408018,甄選入學,甄選一般生,商管群,236,台北縣鶯歌工商,資料處理科
137,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408019,甄選入學,甄選一般生,商管群,542,南投縣國立南投高商,資料處理科
138,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408020,甄選入學,甄選一般生,商管群,542,南投縣國立南投高商,國際貿易科
139,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408021,甄選入學,甄選一般生,商管群,717,臺南市國立新豐高中,綜合高中部
140,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408022,甄選入學,甄選一般生,外語群英語類,632,臺中市私立嶺東高中,應用英語科
141,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408023,甄選入學,甄選一般生,外語群英語類,435,臺中市私立嶺東高中,應用英語科
142,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408024,甄選入學,甄選一般生,外語群英語類,647,雲林縣國立斗六家商,應用英語科
143,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408025,甄選入學,甄選一般生,外語群英語類,640,雲林縣國立斗六家商,應用英語科
144,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408026,甄選入學,甄選一般生,外語群英語類,647,雲林縣國立斗六家商,應用英語科
145,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408028,聯合登記分發,聯登一般生,商管群,234,台北市市立士林高商,資料處理科
146,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408029,聯合登記分發,聯登一般生,商管群,238,台北縣鶯歌工商,資料處理科
147,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408030,聯合登記分發,聯登一般生,商管群,334,桃園縣國立中壢高商,資料處理科
148,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408031,聯合登記分發,聯登一般生,商管群,300,新竹市私立磐石高中,資料處理科
149,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408033,聯合登記分發,聯登一般生,商管群,428,臺中市私立新民高中,國際貿易科
150,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408034,聯合登記分發,聯登一般生,商管群,711,臺南市國立新豐高中,綜合高中部
151,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408035,聯合登記分發,聯登一般生,商管群,722,臺南市國立北門農工,電子商務(處理)科
152,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408036,聯合登記分發,聯登一般生,商管群,730,臺南市國立新營高中,電子商務(處理)科
153,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408038,聯合登記分發,聯登一般生,商管群,429,高雄縣私立高苑工商,綜合高中部
154,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408039,聯合登記分發,聯登一般生,外語群英語類,221,台北縣國立瑞芳高工,應用英語科
155,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408041,聯合登記分發,聯登一般生,外語群英語類,408,臺中市私立嶺東高中,應用英語科
156,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408042,聯合登記分發,聯登一般生,外語群英語類,428,臺中市私立新民高中,應用英語科
157,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,1114408043,聯合登記分發,聯登一般生,外語群英語類,643,雲林縣國立西螺農工,應用英語科
158,國立澎湖科技大學,資訊管理系,四技日間部,日間部四技資訊管理系一甲,1114410002,身心障礙單招,一般生,,830,高雄市市立中正高工,電機科
159,國立澎湖科技大學,資訊管理系,四技日間部,日間部四技資訊管理系一甲,1114410003,繁星推甄,繁星生,商管群,231,台北市幼華高級中學,資料處理科
160,國立澎湖科技大學,資訊管理系,四技日間部,日間部四技資訊管理系一甲,1114410004,繁星推甄,繁星生,商管群,811,高雄市立楠梓高中,綜合高中部
