序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,食品科學系,四技日間部,日間部四技食品科學系四甲,1109413064,轉學考單招,一般生,,231,,
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402001,運動績優單招,一般生,,500,彰化縣立彰化藝術高級中學,普通科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402002,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402003,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402004,甄選入學,甄選一般生,餐旅群,302,新竹縣私立忠信高中,綜合高中部
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402005,甄選入學,甄選一般生,商管群,334,桃園縣私立新興高中,國際貿易科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402007,甄選入學,甄選一般生,商管群,320,桃園縣私立新興高中,商業經營科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402008,甄選入學,甄選一般生,商管群,428,台中市私立新民高中,商業經營科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402009,甄選入學,甄選一般生,商管群,637,雲林縣私立永年高中,綜合高中部
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402010,甄選入學,甄選一般生,商管群,201,基隆市私立二信高中,資料處理科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402011,甄選入學,甄選一般生,商管群,320,桃園縣國立中壢高商,國際貿易科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402012,甄選入學,甄選一般生,商管群,303,新竹縣私立忠信高中,綜合高中部
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402013,甄選入學,甄選一般生,商管群,640,雲林縣國立斗六家商,商業經營科
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402014,甄選入學,甄選一般生,商管群,735,臺南縣國立新營高中,電子商務(處理)科
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402015,甄選入學,甄選一般生,商管群,407,台中市私立新民高中,應用英語科
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402016,甄選入學,甄選一般生,商管群,304,新竹市私立光復高中,資料處理科
17,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402017,甄選入學,甄選一般生,商管群,701,台南市國立台南高商,商業經營科
18,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402018,甄選入學,甄選一般生,外語群英語類,235,台北市私立金甌女中,應用英語科
19,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402019,甄選入學,甄選一般生,外語群英語類,324,桃園縣私立育達高中,應用英語科
20,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402020,甄選入學,甄選一般生,外語群英語類,325,桃園縣私立育達高中,應用英語科
21,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402021,甄選入學,甄選一般生,外語群英語類,325,桃園縣私立育達高中,應用英語科
22,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402025,聯合登記分發,聯登一般生,商管群,338,桃園縣私立新興高中,應用日語科
23,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402027,聯合登記分發,聯登一般生,商管群,320,桃園縣私立啟英高中,資料處理科
24,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402031,聯合登記分發,聯登一般生,商管群,403,台中市私立新民高中,應用日語科
25,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402033,聯合登記分發,聯登一般生,商管群,557,南投縣國立竹山高中,商業經營科
26,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402035,聯合登記分發,聯登一般生,商管群,635,雲林縣國立虎尾農工,商業經營科
27,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402037,聯合登記分發,聯登一般生,商管群,260,宜蘭縣國立宜蘭高商,商業經營科
28,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402038,聯合登記分發,聯登一般生,外語群英語類,204,台北市市立內湖高工,應用英語科
29,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402041,聯合登記分發,聯登一般生,外語群英語類,334,桃園縣私立振聲高中,應用英語科
30,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402045,聯合登記分發,聯登一般生,外語群英語類,600,嘉義市國立華南高商,應用英語科
31,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402046,聯合登記分發,聯登一般生,外語群英語類,811,高雄市市立中正高工,資訊科
32,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402047,聯合登記分發,聯登一般生,餐旅群,807,高雄市私立立志高中,餐飲管理科
33,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1111402048,聯合登記分發,聯登一般生,餐旅群,260,宜蘭縣國立頭城家商,餐飲管理科
34,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403001,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立澎湖海事高職,餐飲管理科
35,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403002,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,普通科
36,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403003,運動績優單招,一般生,,507,彰化縣立和美高級中學,普通科
37,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403004,運動績優單招,一般生,,330,桃園縣縣立永豐高中,普通科
38,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403005,運動績優單招,一般生,,632,雲林縣私立大成商工,餐飲技術科
39,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403006,技優甄審,技優生,餐旅群,612,嘉義市國立嘉義家職,餐飲管理科
40,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403007,甄選入學,離島地區,餐旅群,885,澎湖縣國立澎湖海事高職,餐飲管理科
41,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403008,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
42,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403009,甄選入學,離島地區,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
43,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403010,甄選入學,離島地區,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
44,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403011,甄選入學,離島地區,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
45,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403012,甄選入學,離島地區,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
46,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403013,甄選入學,中低/低收入戶生,餐旅群,428,台中縣私立明道高中,餐飲管理科
47,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403014,甄選入學,甄選一般生,餐旅群,401,台中縣私立僑泰高中,餐飲管理科
48,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403015,甄選入學,甄選一般生,餐旅群,412,台中縣私立僑泰高中,餐飲管理科
49,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403016,甄選入學,甄選一般生,餐旅群,412,台中市明德高級中學,餐飲管理科
50,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403017,甄選入學,甄選一般生,餐旅群,112,台北縣國立淡水商工,餐飲管理科
51,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403018,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
52,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403019,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
53,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403020,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
54,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403021,甄選入學,甄選一般生,餐旅群,334,桃園縣私立新興高中,觀光事業科
55,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403022,甄選入學,甄選一般生,餐旅群,401,台中市私立新民高中,觀光事業科
56,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403023,甄選入學,甄選一般生,餐旅群,300,新竹市私立光復高中,餐飲管理科
57,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403024,甄選入學,甄選一般生,餐旅群,709,臺南縣國立曾文家商,餐飲管理科
58,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403025,甄選入學,甄選一般生,商管群,112,台北市市立士林高商,資料處理科
59,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403026,繁星推甄,繁星生,餐旅群,433,台中市私立宜寧高中,觀光事業科
60,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403027,繁星推甄,繁星生,餐旅群,241,台北縣國立淡水商工,餐飲技術科
61,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403028,繁星推甄,繁星生,餐旅群,244,台北縣私立穀保家商,餐飲管理科
62,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403029,繁星推甄,繁星生,餐旅群,981,花蓮縣國立玉里高中,觀光事業科
63,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403030,繁星推甄,繁星生,餐旅群,265,宜蘭縣國立頭城家商,觀光事業科
64,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403032,聯合登記分發,聯登一般生,食品群,830,高雄縣國立岡山農工,食品加工科
65,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1111403035,聯合登記分發,聯登一般生,餐旅群,325,桃園縣私立永平工商,觀光事業科
