序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402001,繁星推甄,繁星生,外語群,648,雲林縣私立揚子高中,應用英語科
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402002,甄選入學,甄選一般生,商管群,330,桃園縣私立新興高中,商業經營科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402004,甄選入學,甄選一般生,商管群,880,雲林縣國立土庫商工,商業經營科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402005,甄選入學,甄選一般生,餐旅群,408,台中市私立嶺東高中,觀光事業科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402006,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402007,甄選入學,甄選一般生,餐旅群,303,新竹市私立光復高中,餐飲管理科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402008,身心障礙單招,身心障礙生,,885,澎湖縣國立馬公高中,普通科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402009,運動績優單招,一般生,,504,彰化縣立和美高級中學,普通科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402011,聯合登記分發,聯登一般生,商管群,235,台北市市立松山家商,資料處理科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402012,聯合登記分發,聯登一般生,商管群,330,桃園縣私立新興高中,應用日語科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402015,聯合登記分發,聯登一般生,商管群,428,台中縣國立豐原高商,資料處理科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402018,聯合登記分發,聯登一般生,商管群,708,台南市國立台南海事,商業經營科
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402020,聯合登記分發,聯登一般生,商管群,820,高雄市市立高雄高商,會計事務科
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402022,聯合登記分發,聯登一般生,商管群,812,高雄縣國立鳳山商工,國際貿易科
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1112402023,聯合登記分發,聯登一般生,商管群,830,高雄縣國立旗山農工,餐飲技術科
