序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402001,甄試分發入學,一般生,,302,新竹縣國立關西高中,綜合高中部
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402002,身心障礙單招,一般生,,885,澎湖縣國立馬公高中,普通科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402003,甄選入學,甄選一般生,商管群,802,高雄市私立立志高中,資料處理科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402004,甄選入學,甄選一般生,商管群,813,高雄市私立立志高中,資料處理科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402005,甄選入學,甄選一般生,商管群,811,高雄市市立三民家商,資料處理科
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402006,甄選入學,甄選一般生,外語群英語類,330,桃園縣私立新興高中,應用英語科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402007,甄選入學,甄選一般生,外語群英語類,320,桃園縣私立啟英高中,應用英語科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402008,甄選入學,甄選一般生,外語群英語類,320,桃園縣私立六和高中,應用英語科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402009,甄選入學,甄選一般生,餐旅群,429,台中市私立宜寧高中,觀光事業科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402010,甄選入學,甄選一般生,餐旅群,881,澎湖縣國立馬公高中,觀光事業科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402011,甄選入學,甄選一般生,餐旅群,326,桃園市立羅浮高級中學,餐飲管理科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402012,聯合登記分發,聯登一般生,商管群,234,台北縣國立三重商工,商業經營科
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402013,聯合登記分發,聯登一般生,商管群,351,苗栗縣縣立興華中學,資料處理科
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402015,聯合登記分發,聯登一般生,商管群,511,彰化縣國立彰化高商,商業經營科
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402016,聯合登記分發,聯登一般生,商管群,652,雲林縣國立北港高中,資料處理科
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402017,聯合登記分發,聯登一般生,商管群,811,高雄市私立立志高中,資料處理科
17,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402018,聯合登記分發,聯登一般生,商管群,804,高雄市私立立志高中,資料處理科
18,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402019,聯合登記分發,聯登一般生,商管群,830,高雄市私立樹德家商,資料處理科
19,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402020,聯合登記分發,聯登一般生,商管群,806,高雄市市立海青工商,資料處理科
20,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402021,聯合登記分發,聯登一般生,外語群英語類,326,桃園縣私立六和高中,應用英語科
21,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402023,聯合登記分發,聯登一般生,外語群英語類,500,彰化縣國立永靖高工,化工科
22,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402024,聯合登記分發,聯登一般生,餐旅群,204,基隆市國立基隆海事,觀光事業科
23,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402027,聯合登記分發,聯登一般生,餐旅群,302,新竹市私立光復高中,觀光事業科
24,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402030,聯合登記分發,聯登一般生,餐旅群,829,高雄市市立三民家商,美容科
25,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1113402031,聯合登記分發,聯登一般生,餐旅群,806,高雄市市立中正高工,機械科
26,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403001,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,觀光事業科
27,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403002,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立澎湖海事高職,餐飲管理科
28,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403003,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,資料處理科
29,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403004,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立澎湖海事高職,漁業科
30,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403005,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,觀光事業科
31,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403006,繁星推甄,繁星生,餐旅群,351,苗栗縣私立君毅高中,餐飲管理科
32,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403007,繁星推甄,繁星生,餐旅群,237,台北縣私立樹人家商,餐飲管理科
33,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403008,繁星推甄,繁星生,餐旅群,412,台中縣私立大明高中,餐飲管理科
34,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403009,繁星推甄,繁星生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
35,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403010,繁星推甄,繁星生,餐旅群,300,新竹市世界高級中學,餐飲管理科
36,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,1113403011,技優甄審,技優生,餐旅類,270,宜蘭縣國立蘇澳海事,觀光事業科
